,Unnamed: 0,列1,refcode,Melting point_original,smiles,MP[K],MP[℃],note
2347,18834,18834,DMTETA01,397-398 K,CC1OC(=O)C(=C1O)C,397.5,124.5,
2348,18836,18836,DMTPAL,415 K,COC(=O)c1ccc(cc1)C(=O)OC,415.0,142.0,
2349,18840,18840,DMTTMC,429 K,COC(=O)C=CC=CC(=O)OC,429.0,156.0,
2350,18842,18842,DMXBZA01,452-454 K,COc1ccc(cc1OC)C(O)=O,453.0,180.0,
2351,18843,18843,DMXBZQ,248-250deg.C,COC1=CC(=O)C=C(OC)C1=O,522.15,249.15,
2352,18845,18845,DMXHPA01,443 K,COc1cc(CC(O)=O)c(C(O)=O)c(OC)c1,443.0,170.0,
2353,18846,18846,DMXTCD,438-9K,CC1(C)CC2OC(=O)CCC32CCC(=O)OC3C1,223.5,-49.5,
2354,18867,18867,DOBCDC01,127deg.C,CCC1(C)OOC2(O)C(=C1)C(=O)C(C)(C)C(=O)C2(C)C,400.15,127.15,
2355,18870,18870,DOBHIL,112-113deg.C,CC(CO)CCCC1(C)C2CC3(CCC2C)C(CO)CCC13,385.65,112.65,
2356,18871,18871,DOBHOS,316-318 K,CCCCC#CC1=C(Cc2ccccc12)C(=O)CCCC,317.0,44.0,
2357,18872,18872,DOBHUY,395-397 K,COc1ccc(cc1)C1C(=Cc2ccccc12)C(=O)c1ccccc1,396.0,123.0,
2358,18878,18878,DOBLIP,377-378 K,COc1ccccc1C(=O)c1ccccc1OC,377.5,104.5,
2359,18894,18894,DOBVIZ,465-467 K,Cc1cc(C)c(c(C)c1)C1=C(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C1,466.0,193.0,
2360,18896,18896,DOBWAS,103-105deg.C,CC1(C)OC2CCC34COC(C3)C(C)(O)C(C)(C)C24O1,377.15,104.15,
2361,18905,18905,DOBYUP,66-67 deg.C,CCOC(=O)C1(CC2C(C)C(OC(=C2CC1(C(=O)OCC)C(=O)OCC)C)c1ccccc1)C(=O)OCC,339.65,66.65,
2362,18906,18906,DOBZAW,72-73 deg.C,CCOC(=O)C1(CC2=C(C)OC(C)(C)CC2(C)CC1(C(=O)OCC)C(=O)OCC)C(=O)OCC,345.65,72.65,
2363,18908,18908,DOCBOM,160-162deg.C,CC1CCC(C(C)C)C(C1)OC1OCC2C3CCC(O3)C12,434.15,161.15,
2364,18910,18910,DOCBUS,148-150deg.C,CC1(C)C2CCC1(C(=O)C2)C(=O)OC1OCC2C3CCC(O3)C12,422.15,149.15,
2365,18916,18916,DOCDIJ,315-317 K,CC=C(C)C(C)C(C)C(O)=O,316.0,43.0,
2366,18919,18919,DOCGUX,128-130deg.C,CC(C=C(C)C)C1OC(C)(C)OC(C1C)C(C)(OCc1ccccc1)C(=O)Oc1c(cc(C)cc1C(C)(C)C)C(C)(C)C,402.15,129.15,
2367,18927,18927,DOCKAH,192.5-194.5deg.C,CC1(C)C(O)CCC2(C)C3CCC4(C)C(=O)CCC4(C)C3=CCC12,466.65,193.65,
2368,18935,18935,DOCLOW,524-527 K,c1ccc2C=Cc3ccccc3C=Cc3ccccc3C=Cc3ccccc3C=Cc2c1,525.5,252.5,
2369,18938,18938,DOCMAJ,381K,CCC1(C)OC(=O)C2OC(C)(C)OC2C1OC,381.0,108.0,
2370,18949,18949,DOCYPH,384 K,C1COC(O1)C1OCCO1,384.0,111.0,
2371,18954,18954,DODECC,133-4deg.C,CC12C3C4CCCC4C4C3C3C5C6CCCC6(C13)C(O)(C2=O)C45C,341.65,68.65,
2372,18985,18985,DOFDIL,461-462 K,O=C1c2cccc3cccc(c23)c2c3ccccc3ccc12,461.5,188.5,
